0.4024,0.7123,-0.5751,0.755131,-3,,,,,,
0.3273,0.4747,0.817,1.047323,,,,,,,
0.8549,-0.517,-0.0421,0.82814,,,,,,,
0,0,0,1,,,,,,,
-0.9063,0.126,-0.4033,1.2438,-3,,,,,,
0.2389,0.9401,-0.2432,-0.057938,,,,,,,
0.3485,-0.3168,-0.8821,0.043205,,,,,,,
0,0,0,1,,,,,,,
0.5637,-0.4081,-0.7181,0.608332,1,-1.05317,-0.212131,0.735272,-0.123218,0.0266098,0.822514
0.8107,0.4398,0.3864,0.339236,,,,,,,
0.1581,-0.8,0.5788,1.187798,,,,,,,
0,0,0,1,,,,,,,
0.1494,-0.9849,0.088,1.13564,-3,,,,,,
-0.6131,-0.162,-0.7732,0.166151,,,,,,,
0.7757,0.0615,-0.6281,-0.121738,,,,,,,
0,0,0,1,,,,,,,
-0.7652,-0.6415,0.0551,1.10553,-3,,,,,,
-0.588,0.6614,-0.4656,0.194679,,,,,,,
0.2622,-0.3887,-0.8833,-0.355195,,,,,,,
0,0,0,1,,,,,,,
-0.8536,-0.4459,0.2693,0.790409,-3,,,,,,
0.0322,0.4708,0.8817,0.896579,,,,,,,
-0.5199,0.7613,-0.3875,0.586096,,,,,,,
0,0,0,1,,,,,,,
-0.8354,0.5345,0.1279,0.538694,-3,,,,,,
0.3607,0.7089,-0.6061,-0.205669,,,,,,,
-0.4146,-0.4602,-0.7851,-0.23133,,,,,,,
0,0,0,1,,,,,,,
0.0582,-0.5362,-0.8421,1.011237,-3,,,,,,
-0.9982,-0.021,-0.0557,0.116436,,,,,,,
0.0122,0.8438,-0.5365,-0.055554,,,,,,,
0,0,0,1,,,,,,,
0.7681,0.2713,-0.58,0.963058,-3,,,,,,
-0.5728,-0.1137,-0.8118,-0.165071,,,,,,,
-0.2862,0.9558,0.068,0.179034,,,,,,,
0,0,0,1,,,,,,,
-0.9553,-0.2856,-0.0761,0.508115,-3,,,,,,
-0.2715,0.7465,0.6074,0.547584,,,,,,,
-0.1167,0.601,-0.7907,-0.275108,,,,,,,
0,0,0,1,,,,,,,
-0.2403,0.9681,-0.0717,1.197095,-3,,,,,,
0.8568,0.2462,0.453,0.742334,,,,,,,
0.4562,0.0474,-0.8886,0.178776,,,,,,,
0,0,0,1,,,,,,,
0.1759,0.9776,-0.1158,0.156729,-3,,,,,,
0.2199,0.0756,0.9726,0.66059,,,,,,,
0.9595,-0.1966,-0.2017,0.471906,,,,,,,
0,0,0,1,,,,,,,
-0.1317,0.9714,0.1974,0.64383,-3,,,,,,
0.7642,-0.0273,0.6444,0.660552,,,,,,,
0.6313,0.2358,-0.7388,-0.044575,,,,,,,
0,0,0,1,,,,,,,
-0.8919,0.4035,0.204,0.77985,-3,,,,,,
0.4386,0.6626,0.6071,0.608327,,,,,,,
0.1098,0.631,-0.768,0.044747,,,,,,,
0,0,0,1,,,,,,,
0.7357,-0.3106,-0.6019,0.403254,1,-0.540488,-0.90981,0.946892,1.13446,-0.640124,0.415366
0.606,-0.0951,0.7898,0.674692,,,,,,,
-0.3025,-0.9458,0.1182,0.93777,,,,,,,
0,0,0,1,,,,,,,
-0.2207,-0.9196,-0.325,1.117032,-3,,,,,,
-0.86,0.0264,0.5095,0.565311,,,,,,,
-0.46,0.392,-0.7967,0.148264,,,,,,,
0,0,0,1,,,,,,,
-0.2016,-0.9648,-0.1689,0.658341,-3,,,,,,
-0.9694,0.1719,0.1754,0.520545,,,,,,,
-0.1402,0.1991,-0.9699,-0.202528,,,,,,,
0,0,0,1,,,,,,,
0.509,-0.6895,-0.5153,-0.092044,-3,,,,,,
0.4888,-0.2613,0.8324,0.494541,,,,,,,
-0.7086,-0.6755,0.204,0.530826,,,,,,,
