57,0.6999, ,-0.4597, ,-0.5466, ,0.595344,-0.929824,-0.825868,0.953761,1.13446,-0.605212,0.517533,
 ,0.4675, ,-0.2838, ,0.8372, ,0.427321,
 ,-0.54, ,-0.8415, ,0.0163, ,0.989844,
 ,0, ,0, ,0, ,1,
89,0.7069, ,0.4849, ,-0.515, ,0.269924,-0.788081,-0.0666615,0.236971,0.781702,0.333789,1.41496,
 ,0.1258, ,0.6303, ,0.7661, ,0.381169,
 ,0.6961, ,-0.6063, ,0.3845, ,1.22933,
 ,0, ,0, ,0, ,1,
121,0.3895, ,0.2359, ,-0.8903, ,0.158992,-0.433119,-0.0758193,0.0334957,0.323068,0.497082,1.30393,
 ,-0.071, ,0.9715, ,0.2263, ,0.556757,
 ,0.9183, ,-0.025, ,0.3951, ,1.00438,
 ,0, ,0, ,0, ,1,
313,0.3255, ,-0.6484, ,-0.6882, ,0.507968,-0.903657,-0.851975,1.0346,1.09331,-0.680678,0.0367642,
 ,0.6182, ,-0.4048, ,0.6738, ,0.355857,
 ,-0.7155, ,-0.6447, ,0.2691, ,1.01704,
 ,0, ,0, ,0, ,1,
473,0.9212, ,0.0632, ,-0.3839, ,0.57876,-0.871167,-0.75981,0.699738,1.13446,-0.124458,0.980423,
 ,0.3685, ,0.1745, ,0.9131, ,0.386825,
 ,0.1247, ,-0.9826, ,0.1375, ,0.977906,
 ,0, ,0, ,0, ,1,
577,0.2325, ,0.5009, ,-0.8337, ,-0.172637,0.824029,0.37978,-0.698132,-0.610865,1.07088,0.402778,
 ,-0.7308, ,-0.4757, ,-0.4896, ,-0.041901,
 ,-0.6418, ,0.7231, ,0.2555, ,0.691643,
 ,0, ,0, ,0, ,1,
593,0.5429, ,0.6541, ,-0.5266, ,0.118838,-0.328264,-0.259618,-0.0371715,1.13446,0.329488,1.24767,
 ,-0.153, ,0.6936, ,0.7039, ,0.551079,
 ,0.8257, ,-0.3016, ,0.4767, ,1.06753,
 ,0, ,0, ,0, ,1,
669,0.9871, ,0.1448, ,-0.0679, ,0.410284,-0.861781,-1.26081,-0.536406,-0.550725,-0.680678,-0.646843,
