-0.1032,0.781,-0.6159,0.065773,-3,,,,,,
0.3832,0.6026,0.7,0.812521,,,,,,,
0.9179,-0.1638,-0.3615,0.364358,,,,,,,
0,0,0,1,,,,,,,
-0.8528,-0.4816,-0.2018,0.487971,-3,,,,,,
-0.3121,0.1603,0.9364,1.068089,,,,,,,
-0.4187,0.8616,-0.287,0.540807,,,,,,,
0,0,0,1,,,,,,,
-0.5495,0.4299,-0.7164,-0.01703,-3,,,,,,
-0.3783,0.6365,0.6721,0.668835,,,,,,,
0.7449,0.6403,-0.1871,0.204184,,,,,,,
0,0,0,1,,,,,,,
-0.5265,0.0013,0.8502,1.535504,-3,,,,,,
-0.3684,0.9008,-0.2296,0.368558,,,,,,,
-0.7662,-0.4341,-0.4738,-0.210758,,,,,,,
0,0,0,1,,,,,,,
0.743,0.5334,0.4043,1.258326,-3,,,,,,
0.4235,-0.8424,0.3331,0.224623,,,,,,,
0.5183,-0.0763,-0.8518,0.342002,,,,,,,
0,0,0,1,,,,,,,
-0.7054,0.6924,0.1515,1.126086,-3,,,,,,
0.0861,0.2959,-0.9513,-0.079111,,,,,,,
-0.7035,-0.658,-0.2683,0.13961,,,,,,,
0,0,0,1,,,,,,,
-0.9926,0.064,-0.1036,0.393911,-3,,,,,,
0.0331,0.9606,0.2761,0.606603,,,,,,,
0.1172,0.2706,-0.9555,-0.258631,,,,,,,
0,0,0,1,,,,,,,
-0.6923,-0.7207,0.0364,1.485211,-3,,,,,,
-0.7213,0.6925,-0.0059,0.301858,,,,,,,
-0.021,-0.0304,-0.9993,0.098431,,,,,,,
0,0,0,1,,,,,,,
-0.5668,-0.7639,0.3087,0.990764,-3,,,,,,
-0.3275,0.5527,0.7663,0.444795,,,,,,,
-0.756,0.3332,-0.5634,0.437266,,,,,,,
0,0,0,1,,,,,,,
0.37,0.9228,-0.1079,0.649773,-3,,,,,,
-0.0315,0.1285,0.9912,0.526904,,,,,,,
0.9285,-0.3633,0.0766,1.051955,,,,,,,
0,0,0,1,,,,,,,
-0.1818,0.2247,-0.9573,-0.155137,-3,,,,,,
0.2199,-0.9396,-0.2623,0.020729,,,,,,,
